date,state,district,pincode,age_0_5,age_5_17,age_18_greater
02-09-2025,Uttarakhand,Almora,263655,1,0,0
01-09-2025,Uttarakhand,Almora,263628,1,0,0
06-09-2025,Uttarakhand,Almora,263645,1,0,0
06-09-2025,Uttarakhand,Almora,263664,1,0,0
06-09-2025,Uttarakhand,Almora,263676,0,1,0
05-09-2025,Uttarakhand,Almora,263645,1,0,0
04-09-2025,Uttarakhand,Almora,263622,1,1,0
09-09-2025,Uttarakhand,Almora,263623,0,1,0
09-09-2025,Uttarakhand,Almora,263676,1,0,0
08-09-2025,Uttarakhand,Almora,263653,2,1,0
08-09-2025,Uttarakhand,Almora,263661,4,0,0
08-09-2025,Uttarakhand,Almora,263680,1,0,0
11-09-2025,Uttarakhand,Almora,263622,2,1,0
11-09-2025,Uttarakhand,Almora,263624,1,0,0
11-09-2025,Uttarakhand,Almora,263625,1,0,0
11-09-2025,Uttarakhand,Almora,263661,2,1,0
12-09-2025,Uttarakhand,Almora,263637,2,0,0
12-09-2025,Uttarakhand,Almora,263663,1,0,0
13-09-2025,Uttarakhand,Almora,263676,1,1,0
15-09-2025,Uttarakhand,Almora,263623,1,0,0
15-09-2025,Uttarakhand,Almora,263625,0,1,0
15-09-2025,Uttarakhand,Almora,263629,1,0,0
15-09-2025,Uttarakhand,Almora,263637,1,0,0
15-09-2025,Uttarakhand,Almora,263659,1,0,0
16-09-2025,Uttarakhand,Almora,263645,2,0,0
16-09-2025,Uttarakhand,Almora,263663,1,0,0
16-09-2025,Uttarakhand,Almora,263680,0,1,0
19-09-2025,Uttarakhand,Almora,263622,0,1,0
19-09-2025,Uttarakhand,Almora,263645,4,0,0
19-09-2025,Uttarakhand,Almora,263651,4,0,0
19-09-2025,Uttarakhand,Almora,263656,1,1,0
17-09-2025,Uttarakhand,Almora,263637,1,0,0
17-09-2025,Uttarakhand,Almora,263653,2,0,0
18-09-2025,Uttarakhand,Almora,263645,2,0,0
18-09-2025,Uttarakhand,Almora,263655,1,0,0
18-09-2025,Uttarakhand,Almora,263656,2,3,0
22-09-2025,Uttarakhand,Almora,263601,3,0,0
20-09-2025,Uttarakhand,Almora,263661,1,0,0
20-09-2025,Uttarakhand,Almora,263665,0,1,0
25-09-2025,Uttarakhand,Almora,263625,2,0,0
25-09-2025,Uttarakhand,Almora,263656,1,0,0
24-09-2025,Uttarakhand,Almora,263623,3,0,0
23-09-2025,Uttarakhand,Almora,263625,2,0,0
23-09-2025,Uttarakhand,Almora,263661,0,1,0
27-09-2025,Uttarakhand,Almora,263601,1,0,0
27-09-2025,Uttarakhand,Almora,263652,1,0,0
27-09-2025,Uttarakhand,Almora,263655,1,0,0
29-09-2025,Uttarakhand,Almora,263645,0,1,0
26-09-2025,Uttarakhand,Almora,263676,1,0,0
26-10-2025,Uttarakhand,Almora,263623,1,0,0
26-10-2025,Uttarakhand,Almora,263658,0,1,0
13-10-2025,Uttarakhand,Almora,263601,4,0,0
13-10-2025,Uttarakhand,Almora,263622,2,1,0
13-10-2025,Uttarakhand,Almora,263659,2,0,0
16-10-2025,Uttarakhand,Almora,263601,1,0,0
16-10-2025,Uttarakhand,Almora,263621,1,0,0
16-10-2025,Uttarakhand,Almora,263645,1,0,0
16-10-2025,Uttarakhand,Almora,263653,2,0,0
15-10-2025,Uttarakhand,Almora,263623,0,1,0
15-10-2025,Uttarakhand,Almora,263626,1,0,0
15-10-2025,Uttarakhand,Almora,263638,1,0,0
15-10-2025,Uttarakhand,Almora,263655,0,1,0
17-10-2025,Uttarakhand,Almora,263601,6,0,0
17-10-2025,Uttarakhand,Almora,263624,2,0,0
17-10-2025,Uttarakhand,Almora,263653,4,0,0
17-10-2025,Uttarakhand,Almora,263680,3,0,0
19-10-2025,Uttarakhand,Almora,263637,1,0,0
19-10-2025,Uttarakhand,Almora,263645,1,0,0
18-10-2025,Uttarakhand,Almora,263601,2,0,0
18-10-2025,Uttarakhand,Almora,263621,1,0,0
18-10-2025,Uttarakhand,Almora,263646,2,0,0
18-10-2025,Uttarakhand,Almora,263655,1,0,0
18-10-2025,Uttarakhand,Almora,263659,1,0,0
